A1_Nquest,DIAENTR,MESENTR,ANOENTR,D1A_ID,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,RAMOATIV,RAMOCHEFEF,OCUPA,UF,CID,REG,Q1,Q2,Q3,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q501,Q502,Q503,Q504,Q505,Q601,Q602,Q603,Q604,Q7,Q8,Q9,Q10A,Q10B,Q11,Q12P1_A,Q12P1_B,Q12P2_A,Q12P2_B,Q12G_1A,Q12G_2,Q12S1,Q12S2,Q12CD,Q12CD_recode,Q12AL,Q12AL_recode,Q13A,Q13B,Q13B_2,Q13B2A,Q13G1,Q13G2,Q13S,Q13CD,Q13CD_recode,Q13AL,Q13AL_recode,Q14A,Q14B,Q1501,Q1502,Q1503,Q1504,Q1505,Q1506,Q1507,Q1508,Q1509,Q1510,Q1511,Q1512,Q1513,Q1514,Q1515,Q1516,Q1517,Q1518,Q1519,Q1520,Q1521,Q1522,Q1523,Q1524,Q1525,Q1526,Q1601,Q1602,Q1603,Q1604,Q1605,Q1606,Q1607,Q1608,Q1609,Q1610,Q1611,Q1612,Q1613,Q1614,Q1615,Q1616,Q1617,Q1618,Q1619,Q1620,Q1621,Q1701,Q1702,Q1703,Q1704,Q1705,Q1706,Q1707,Q1708,Q1709,Q1710,Q1711,Q1712,Q1713,Q1714,Q1715,Q1716,Q1717,Q1718,Q1719,Q1720,Q1721,Q1722,Q1723,Q1724,Q1725,Q1726,Q18,Q21,Q22A,Q22B,Q22C,Q22D,P1,P1A,D5_1,D5_2,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P301,P302,P303,P304,P305,P306,P307,P308,P309,P310,P311,P312,P401,P402,P403,P404,P405,P406,P407,P408,P409,P410,P411,P412,P5,P601,P602,P603,P604,P605,P606,P607,P608,P609,P610,P611,P612,P613,P614,P615,P616,P7_aberta_agregada,P8,P9,P1001,P1002,P1003,P1004,P1101,P1102,P1103,P1104,P1105,P12,P13_aberta_agregada,P14A,P14B,P15,P1601,P1602,P1603,P1604,P1605,P1606,P1607,P1608,P1609,P1610,P1611,P1701,P1702,P1703,P1704,P1705,P1706,P1707,P1708,P1709,P1710,P1711,P1712,P1713,P18,P19,P20,P2101,P2102,P2103,P2104,P2105,P2106,P22,P24,P25,P26,P27,P28,P28A,P28B,P29,P30,D4,D7,D8,D8A,D6,D9,D9A,D9B_FAIXA_RENDAF,D11,D10,D10A,D12,D12A,D14,D15,D16,D20,DIAANIVER,MESANIVER,ANOANIVER,A3
1111,16,11,2018,23,2,2,5,4,99,1,31,80,3,4,3,3,2,1,3,2,3,1,1,2,3,2,2,2,4,2,1,3,2,2,5,5,99,3,5,99,5,99,9999,9999,9999,9999,9999,999,9999,999,1,1,1,1,9998,9999,9998,9998,3,9998,3,3,3,0,96,2,96,2,96,2,2,96,96,96,2,96,2,96,2,2,96,96,2,96,96,2,96,2,96,96,0,96,0,0,96,10,96,5,0,96,96,96,96,96,96,2,0,96,96,0,0,2,96,96,2,96,2,96,96,96,96,96,96,96,96,2,2,96,96,2,96,96,2,96,2,96,5,5,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,5,2,5,6,3,2,1,2,3,3,3,3,3,2,3,4,3,2,3,0,0,0,0,0,5,1,5,0,0,3,5,3,2,5,13,2,1,3,1,4,5,1,3,3,1,5,1,15,1,99,2,5,5,5,5,5,1,5,1,1,1,1,5,1,3,3,1,3,1,3,3,4,3,1,9,1,1,1,5,5,1,5,3,3,4,2,4,1,96,1,4,5,2,2,3,2,2,3,1,900,999,1,1,5,2,2,3,1,2,1,1,18,2,1995,1
1112,16,11,2018,71,7,1,2,10,99,4,31,80,3,1,1,2,1,2,4,1,1,1,4,4,4,5,4,4,1,3,4,1,1,5,5,1,17,5,1,9,1,2,3109,3109,3114,9998,9998,3,924,1,1,98,1,1,9998,9999,9998,9998,3,9998,3,1,5,0,96,5,96,5,96,96,5,96,96,96,96,96,96,96,96,96,96,2,3,96,96,96,2,4,96,6,96,96,6,0,96,10,10,96,0,4,96,5,96,96,96,7,0,96,6,0,0,96,4,96,5,96,3,6,96,96,3,96,96,3,96,96,96,0,6,2,96,96,2,2,4,2,0,5,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,5,5,5,5,5,5,5,1,3,3,4,4,4,3,3,4,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,998,2,2,2,4,2,2,1,1,1,1,2,1,50,99,4,2,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,2,1,1,2,4,1,1,1,1,5,1,1,1,1,1,5,2,2,4,2,2,7,4,2,1,999,2,2,1,13,9999,999,999,3000,999,3,3,4,9999,1,2,1,2,1,3,10,8,1947,1
1113,16,11,2018,28,3,1,5,5,99,3,31,80,3,2,3,1,2,1,5,1,4,1,2,2,4,4,5,5,1,2,3,3,1,4,5,5,99,4,1,5,1,1,3109,3109,3104,9960,9960,4,9960,4,1,5,1,2,3103,9999,9960,9960,4,9960,4,5,5,4,3,4,96,2,96,96,2,96,96,96,2,2,96,96,96,2,4,96,96,96,2,96,96,2,96,3,96,3,3,3,0,2,4,96,4,96,96,96,96,96,96,0,3,96,0,0,10,0,0,10,10,0,96,10,96,10,0,0,0,10,10,0,0,10,0,10,0,0,10,96,10,96,0,5,2,2,99,99,2,999,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,2,2,2,2,1,3,3,3,3,3,4,4,3,3,4,4,1,0,4,4,4,4,0,6,6,3,3,3,3,3,3,3,3,6,1,2,1,1,1,2,1,2,1,1,5,1,15,2,99,2,4,4,3,3,3,3,3,3,3,3,3,2,5,2,4,1,1,4,4,2,2,2,2,1,4,1,1,5,5,5,5,5,1,1,1,2,3,4,2,6,999,1,1,1,3,5,3,1,3000,999,3,2,3,9999,7,1,1,2,1,5,22,12,1990,1
1114,16,11,2018,21,2,1,7,10,99,4,31,80,3,2,1,1,2,5,2,3,3,4,4,3,5,5,3,2,2,3,4,3,1,1,3,1,17,5,1,9,1,2,3109,3109,3116,3105,601,1,933,1,1,1,1,1,9950,9999,9950,9950,4,9950,4,5,5,0,2,1,1,1,1,5,0,7,3,7,8,4,0,2,1,3,2,2,2,3,3,0,3,3,3,1,0,0,1,0,1,7,1,5,0,3,0,3,0,2,0,2,0,3,0,1,0,6,2,2,5,5,6,0,8,5,10,10,5,0,0,2,2,5,3,5,2,7,2,3,2,5,10,4,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,5,2,3,5,3,5,6,5,3,2,2,3,3,4,3,3,3,2,4,3,1,0,2,2,0,3,2,3,0,3,0,2,5,2,3,1,1,12,1,1,4,4,1,1,2,4,3,2,1,1,10,99,2,1,9,7,7,7,8,6,6,8,9,6,5,2,4,5,1,2,4,5,3,5,2,3,4,2,4,1,1,5,5,5,5,5,1,4,1,8,3,97,2,2,999,2,2,3,11,9999,999,999,9999998,98,98,3,5,998,2,3,1,2,1,4,10,7,1997,1
1115,16,11,2018,53,5,1,0,1,99,1,31,80,3,4,3,2,5,1,2,2,2,1,5,1,2,3,3,1,1,1,1,1,1,1,1,5,99,2,1,9,1,2,9950,9950,9950,9950,9950,4,9950,4,4,99,4,99,9999,9999,9999,9999,999,9999,999,5,5,0,0,0,96,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,98,0,0,95,4,2,2,99,99,1,13,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,6,2,1,6,6,1,6,6,1,3,3,2,2,3,3,3,3,3,3,3,3,1,0,5,0,10,5,5,5,8,0,0,5,5,5,5,5,3,5,1,1,1,1,2,2,2,1,2,2,2,1,25,5,99,2,6,5,4,5,5,4,3,3,5,3,5,5,1,1,5,2,1,2,3,2,2,2,2,1,5,5,2,2,1,1,4,2,5,4,2,2,97,2,2,3,999,2,2,1,13,9999,999,999,1500,999,2,5,97,9999,7,4,1,2,1,1,3,4,1965,1
1116,16,11,2018,24,2,2,7,8,99,1,31,80,3,4,3,1,1,1,5,2,2,3,1,3,3,3,4,4,2,2,1,1,1,1,5,5,99,3,1,50,1,50,9950,9950,9950,9950,9998,3,9950,4,1,50,1,1,9998,9999,9950,9950,4,9998,3,5,5,0,96,96,96,0,5,96,2,96,0,5,96,96,0,96,96,96,96,96,96,96,96,96,96,5,96,0,0,0,0,0,5,5,0,5,0,0,96,96,96,96,0,0,0,96,0,0,10,96,98,98,98,96,98,0,96,96,98,98,98,0,96,98,10,96,96,98,96,98,96,98,98,96,5,4,2,2,99,99,2,999,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,4,2,3,5,4,2,4,6,5,1,2,2,3,3,3,4,3,2,3,4,4,1,0,5,5,5,5,2,5,2,5,0,5,2,5,2,0,5,6,1,1,1,5,1,2,3,3,3,1,1,1,11,99,1,2,5,5,5,5,5,5,5,1,5,5,5,5,4,5,3,5,3,3,2,3,3,1,1,1,4,3,1,5,1,5,5,5,3,4,2,4,1,7,2,4,999,2,2,3,2,1,3,1,5000,999,4,1,3,9999,2,3,1,2,1,5,29,5,1994,1
1117,16,11,2018,56,6,1,2,5,99,3,31,80,3,3,3,4,1,1,4,2,4,1,4,4,2,2,4,4,3,1,1,1,2,1,2,5,99,4,1,9,1,2,3109,3109,9998,9998,925,1,841,3,1,2,1,2,3103,9999,9998,925,1,841,3,5,3,96,96,96,96,96,96,96,5,96,96,6,96,96,4,96,96,96,96,96,96,96,96,96,96,96,96,0,0,96,5,0,0,7,1,0,0,0,0,2,2,0,0,0,0,0,0,0,10,98,98,98,0,98,98,98,0,98,0,98,98,0,98,98,98,98,98,98,98,98,98,98,98,98,0,2,2,2,99,99,1,45,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,5,3,1,2,2,2,3,1,1,3,3,3,3,3,1,2,3,3,1,8,8,8,10,10,8,7,7,6,8,8,6,9,8,8,8,5,1,1,2,2,2,1,1,2,2,1,4,1,10,2,99,2,9,3,8,7,7,2,9,10,8,2,10,5,1,2,2,1,1,2,4,5,4,4,2,4,2,1,1,5,4,5,5,5,1,4,1,2,4,2,2,4,999,2,1,1,3,5,3,1,4000,999,3,2,5,2,5,2,1,1,1,3,19,1,1962,1
1118,16,11,2018,42,4,1,2,5,99,3,31,80,3,3,4,3,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,98,2,1,9,1,2,9998,3109,3104,9998,924,2,9960,4,1,2,1,2,9998,9999,9998,601,1,9998,3,3,5,10,1,96,1,5,8,96,96,1,96,5,1,1,1,1,1,1,96,1,96,96,1,1,1,96,1,1,1,1,5,8,1,9,1,1,5,1,1,1,5,96,1,1,5,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,1,13,2,1,12,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,1,1,1,2,10,10,5,5,5,5,5,5,5,5,5,0,5,5,5,5,998,2,1,2,1,1,2,2,2,1,1,2,1,998,99,1,2,10,5,10,10,5,5,5,5,5,10,5,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,3,999,2,1,1,3,5,3,2,5000,999,4,2,3,9999,5,1,1,2,1,3,24,9,1976,1
1119,11,11,2018,27,3,2,4,10,99,4,31,80,3,4,4,5,2,1,5,1,5,1,1,2,2,3,5,2,1,1,1,1,3,5,4,5,99,5,5,99,5,99,9999,9999,9999,9999,9999,999,9999,999,1,98,1,60,9960,9999,9960,9960,4,9960,4,1,1,0,96,96,96,0,96,96,96,96,96,96,0,96,96,96,96,0,0,96,0,96,0,0,96,96,96,96,96,96,0,96,96,0,0,96,5,96,96,96,96,96,96,0,0,96,96,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,5,3,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,4,4,5,4,4,4,4,4,1,1,3,3,3,3,3,3,3,3,3,3,3,2,8,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,998,3,2,1,1,2,2,2,4,5,5,1,1,50,1,99,2,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,4,1,1,1,1,1,1,5,2,2,1,5,5,1,5,1,2,2,10,999,97,2,5,999,1,2,3,16,9999,999,999,9999998,98,98,3,5,2,1,4,1,2,1,6,26,3,1991,1
1120,11,11,2018,30,3,2,6,10,99,4,31,80,3,2,1,1,2,1,5,5,2,1,1,2,2,2,2,5,2,1,1,1,1,1,3,1,17,5,1,9,1,2,3109,3102,3105,3116,231,1,9998,3,1,1,1,1,9998,9999,9998,9998,3,9998,3,5,5,0,2,2,96,4,96,96,4,96,96,5,10,96,3,96,5,2,96,96,3,3,3,4,96,96,96,3,0,0,2,0,96,10,4,8,0,96,96,4,96,98,96,0,0,96,0,4,0,2,2,98,0,2,10,98,98,96,2,10,96,2,96,96,96,96,96,96,96,10,0,98,96,96,10,1,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,3,3,5,1,3,6,2,2,2,2,2,2,2,3,3,2,3,4,2,1,0,8,5,5,5,5,10,8,5,0,5,5,5,8,8,8,21,2,2,2,1,1,1,1,2,2,5,1,1,10,99,3,2,5,1,5,1,1,1,1,1,1,1,1,5,1,5,1,2,1,5,1,5,5,1,1,1,1,1,1,5,5,5,5,4,1,4,1,6,1,8,2,3,999,2,2,1,16,9999,999,999,1300,999,2,4,3,9999,8,2,1,2,1,4,22,1,1988,1
1121,14,11,2018,49,5,2,3,10,99,4,31,81,3,1,1,2,1,1,1,1,5,5,2,4,1,4,4,4,4,4,4,4,2,2,5,5,99,5,1,6,1,60,3102,3102,3114,9998,608,1,615,1,1,1,1,1,3105,9999,3101,9998,3,615,1,5,5,0,96,3,96,5,2,1,0,96,96,1,96,96,96,0,0,96,96,96,96,96,96,96,2,96,1,3,96,4,0,0,3,2,5,0,0,3,0,0,3,1,96,5,0,1,3,2,2,5,98,0,5,3,2,0,0,0,98,0,0,96,0,0,0,98,0,0,0,0,2,96,98,1,5,5,1,99,45,1,1,13,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,6,6,5,6,6,5,6,5,2,5,2,3,4,4,3,3,3,3,4,3,3,3,3,3,1,0,0,0,3,1,3,5,2,1,0,1,1,1,5,5,2,21,2,1,2,5,2,1,1,5,2,1,1,1,5,2,99,2,5,5,5,3,5,3,3,1,5,3,5,5,1,2,1,1,1,1,4,2,2,1,1,1,2,1,1,5,5,5,4,2,2,4,2,6,7,96,2,5,999,2,2,3,12,9999,999,999,1000,999,2,1,4,9999,8,2,1,2,1,1,12,11,1969,1
1122,14,11,2018,45,5,2,2,10,99,4,31,81,3,1,4,4,8,1,2,1,1,1,2,2,1,1,1,5,1,1,1,1,1,1,1,1,97,1,1,98,1,60,9998,9960,9998,9998,9998,3,9998,3,1,98,1,2,9998,9999,9998,9998,3,9998,3,5,4,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,5,96,96,5,96,96,96,96,96,96,5,3,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,9,1,1,99,97,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,1,2,2,2,2,2,2,3,1,1,4,4,4,1,1,1,1,1,1,1,8,10,8,8,10,8,8,8,4,8,8,8,8,10,10,10,998,2,1,1,1,1,4,1,1,1,1,1,1,998,99,4,8,8,8,10,8,8,8,4,4,8,10,4,1,1,1,1,1,1,2,1,4,1,1,1,1,1,5,2,1,2,1,1,1,1,4,2,10,999,97,2,6,999,1,2,6,14,9999,999,999,1000,999,2,2,5,2,8,2,1,2,1,3,10,4,1973,1
1123,14,11,2018,18,2,2,6,10,99,4,31,81,3,3,2,3,2,4,5,1,5,4,2,4,5,1,4,4,2,2,1,3,4,3,5,1,17,4,1,9,1,2,3105,3102,9998,9998,9998,3,9998,3,3,99,3,99,9999,9999,9999,9999,999,9999,999,5,5,1,96,96,96,96,96,96,96,96,96,96,10,96,96,96,96,96,96,96,96,96,1,1,96,96,96,10,1,96,1,1,1,10,1,1,1,96,1,96,96,96,96,1,1,96,1,1,10,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,0,4,1,99,17,1,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,2,2,5,6,2,2,6,2,4,2,2,2,3,2,4,3,2,3,4,3,1,0,0,0,0,10,10,10,10,10,0,10,0,10,10,10,10,998,2,1,1,1,2,1,2,2,1,5,4,1,25,2,99,2,10,10,10,10,1,1,1,1,10,10,1,5,1,5,2,4,1,1,2,2,4,2,2,5,2,1,2,1,4,5,5,2,1,8,2,8,1,8,2,5,999,2,2,1,16,9999,999,999,1000,999,2,5,5,8,2,3,1,2,1,2,27,7,2000,1
1124,13,11,2018,66,7,2,6,10,99,4,31,81,3,4,2,2,4,2,5,1,2,1,1,1,1,4,4,4,1,1,1,1,1,1,5,8,99,5,1,9,1,2,3109,3109,9998,9998,9998,3,9998,3,1,2,1,2,9998,9999,9998,9998,3,9998,3,4,5,0,3,2,96,2,96,96,96,96,96,96,3,96,1,1,96,96,1,1,1,96,1,2,96,96,96,1,1,96,96,0,2,10,0,1,0,96,96,98,5,96,96,0,0,1,3,0,98,10,98,98,96,98,96,98,98,96,96,10,98,96,98,96,98,96,96,98,98,96,98,98,98,96,97,4,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,5,5,2,2,2,2,1,3,1,3,8,4,4,4,1,2,2,2,1,0,0,0,5,4,2,6,7,7,98,99,3,1,0,2,5,5,1,8,1,8,1,2,1,1,1,4,4,1,15,99,1,2,7,1,5,8,98,5,2,3,7,4,9,1,1,1,1,2,2,2,8,8,5,1,2,2,8,1,1,5,1,1,5,5,1,4,2,6,7,2,2,4,999,2,2,5,12,9999,999,999,9999998,1,1,3,3,9999,8,2,1,2,1,3,6,3,1952,1
1125,13,11,2018,35,4,1,8,8,99,4,31,81,3,1,2,2,2,2,4,4,5,2,1,5,5,2,5,5,2,2,1,1,1,1,5,1,50,5,1,5,1,1,3105,3102,3104,3112,50,1,50,1,1,2,1,2,3103,9999,3105,1243,1,1250,1,4,5,6,1,4,0,1,5,0,10,0,0,0,0,0,7,5,6,3,0,0,0,0,0,0,0,0,96,5,10,10,3,10,2,0,3,0,10,0,1,2,0,0,4,0,10,0,0,0,4,7,4,7,5,2,8,1,8,7,8,10,6,2,0,5,5,6,7,5,6,7,6,6,5,96,0,4,1,99,50,3,1,17,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,2,6,5,5,6,6,5,2,6,6,3,4,3,3,3,3,3,4,4,2,4,4,1,3,4,2,2,2,2,2,1,2,1,3,2,4,2,2,3,13,2,1,1,5,2,4,4,2,2,4,5,1,18,1,99,2,6,6,3,5,5,6,5,6,4,5,4,5,4,4,1,2,4,4,4,2,4,1,1,1,4,3,2,5,5,5,5,5,1,1,1,5,1,4,1,6,4,2,1,3,2,1,3,1,3000,999,3,5,97,9999,8,2,1,2,1,3,31,10,1983,1
1126,13,11,2018,26,3,2,6,8,99,1,31,81,3,3,3,2,1,1,4,2,2,2,1,4,4,1,5,5,4,3,3,4,1,1,4,1,17,4,1,9,1,2,3109,9950,9950,9950,9998,3,9998,3,1,50,1,50,9950,9999,9950,9950,4,9950,4,5,5,1,96,0,96,4,96,96,1,96,96,5,8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2,1,0,2,2,1,8,5,2,0,2,96,6,96,3,96,0,0,96,96,0,0,0,96,5,3,96,96,2,96,96,8,9,96,96,96,96,96,96,96,96,96,96,96,96,96,96,7,5,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,2,5,5,5,3,3,3,4,4,2,4,4,3,4,4,4,8,0,3,1,4,4,0,6,5,2,0,0,2,0,3,2,4,70,1,1,1,2,4,1,2,1,4,2,2,1,10,99,3,2,3,1,1,2,1,3,3,1,1,1,1,5,1,4,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,2,5,4,5,4,2,5,1,8,2,4,999,2,2,3,2,1,3,1,3000,999,3,2,97,9999,2,3,1,2,1,5,9,12,1992,1
1127,13,11,2018,26,3,2,6,6,99,3,31,81,3,3,4,8,2,4,2,2,4,4,8,2,2,2,2,2,1,2,1,1,3,4,5,5,99,4,1,98,1,98,9998,9998,9998,9998,9998,3,9998,3,1,98,1,2,9998,9999,9998,9998,3,9998,3,5,4,96,98,98,98,96,98,96,98,98,98,98,98,98,98,98,98,98,98,96,98,98,98,98,98,98,98,96,96,98,98,98,96,98,98,96,98,96,96,96,96,96,96,98,98,96,96,98,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,2,8,8,99,99,2,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,98,98,98,98,98,98,10,98,98,5,98,98,98,98,98,98,998,8,8,2,1,1,8,4,1,4,2,4,1,998,8,99,8,98,6,98,8,98,9,98,98,98,98,98,5,4,8,8,4,4,8,8,8,8,8,8,8,8,8,8,4,5,8,8,8,8,8,1,10,999,98,8,98,999,8,2,3,1,998,3,3,500,999,1,2,5,998,98,8,1,2,1,4,5,6,1992,1
1128,13,11,2018,35,4,2,3,6,99,1,31,81,3,3,3,3,5,1,1,4,1,1,1,4,5,5,2,5,4,4,1,4,1,5,5,5,99,5,4,99,5,99,9999,9999,9999,9999,9999,999,9999,999,4,99,4,99,9999,9999,9999,9999,999,9999,999,4,5,1,1,5,1,5,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,96,96,5,2,5,1,10,96,5,1,5,1,5,0,96,5,0,1,0,1,96,96,10,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,5,5,2,2,99,99,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,8,2,2,2,2,6,2,2,6,6,6,6,6,2,3,1,1,3,4,3,4,4,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,1,1,2,5,2,5,1,5,5,5,5,1,999,99,1,2,5,1,5,1,1,1,1,5,1,5,1,5,1,1,5,5,5,1,1,5,5,5,5,1,5,1,1,1,1,5,5,5,5,4,2,2,1,96,2,4,999,1,2,1,16,9999,999,999,1000,999,2,1,5,1,5,1,1,2,1,3,3,2,1983,1
1129,13,11,2018,38,4,1,2,1,99,3,31,81,3,4,4,3,2,3,4,2,2,3,3,3,3,3,2,3,2,4,4,3,2,3,5,5,99,4,1,60,1,60,3105,3109,9960,9960,284,1,458,1,1,2,1,2,9998,9999,9998,9998,3,9998,3,2,2,5,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2,96,2,96,0,96,5,96,96,5,96,0,96,96,96,96,96,0,96,96,0,98,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,5,2,2,99,99,2,999,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,8,8,6,8,2,2,2,2,1,2,3,4,4,3,4,3,3,3,4,3,2,10,10,5,5,5,5,5,5,0,0,5,5,5,5,5,5,998,1,1,2,1,2,1,1,1,5,1,4,1,15,1,99,1,3,10,5,98,5,98,5,10,98,5,10,2,1,1,1,1,1,8,1,5,5,5,5,5,8,5,1,1,1,1,1,5,1,4,2,10,999,97,1,5,4,2,2,1,3,5,1,1,9999999,99,99,2,3,9999,2,4,1,2,1,3,19,2,1980,1
1130,13,11,2018,32,3,2,3,10,99,4,31,81,3,4,3,1,1,5,4,4,4,1,5,5,1,5,4,1,1,1,4,1,4,5,5,1,98,5,1,9,1,2,3105,3109,3104,9998,601,1,1078,1,1,98,1,2,9998,9999,9998,9998,3,9998,3,7,7,5,5,96,96,7,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,10,96,96,10,96,96,96,96,96,96,9,10,96,96,5,10,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,8,5,1,99,13,2,1,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,6,3,5,5,1,1,5,5,1,4,1,1,1,1,4,4,1,4,4,4,1,0,5,4,10,1,9,2,3,4,10,9,10,9,10,10,9,998,8,8,1,1,1,1,1,1,1,1,4,1,998,99,1,8,10,3,5,5,9,6,8,4,4,3,10,1,1,5,4,4,5,1,4,5,4,1,1,1,1,3,2,1,1,5,1,4,1,1,2,3,1,97,2,5,999,1,1,3,14,9999,999,999,1000,999,2,2,3,9999,2,3,1,2,1,7,13,3,1986,1
1131,13,11,2018,19,2,1,6,10,99,4,31,81,3,3,3,2,2,3,3,3,4,1,2,2,4,2,4,5,1,2,1,1,1,1,4,5,99,4,1,3,1,60,3109,3109,3104,3114,9998,3,9998,3,1,2,1,2,9998,9999,9998,9998,3,9998,3,4,4,7,96,96,5,4,96,96,6,5,6,6,5,5,5,96,96,5,96,5,5,5,5,5,96,96,96,7,5,5,2,5,4,5,4,4,7,4,96,4,96,96,96,2,6,96,4,0,10,96,96,96,0,96,96,10,96,96,0,10,96,0,96,96,0,96,96,0,96,96,10,96,96,96,10,4,2,2,99,99,2,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,4,3,1,1,1,3,3,3,2,2,2,2,3,3,1,4,4,3,3,3,3,5,3,4,4,5,3,3,3,3,3,6,1,1,2,4,2,3,2,3,2,3,2,1,50,2,99,2,6,5,5,5,5,5,5,5,6,5,6,5,2,4,3,2,2,3,3,4,3,3,3,2,3,1,1,4,2,3,5,3,3,3,2,2,5,4,2,3,999,2,2,3,16,9999,999,999,2000,999,3,3,3,9999,8,2,1,2,1,3,15,8,1999,1
